APK_Path,Package
/product/priv-app/AuraAppServices/AuraAppServices.apk,com.aura.oobe.solutions
/apex/com.android.appsearch/priv-app/com.google.android.appsearch.apk@360743400/com.google.android.appsearch.apk.apk,com.google.android.appsearch.apk
/product/priv-app/VzwPhoneService/VzwPhoneService.apk,com.motorola.setupwizard.phoneservice
/product/overlay/EuiccPartnerAppRETCARRO.apk,com.oem.euiccpartnerapp.overlay.retca
/system_ext/priv-app/CQATest/CQATest.apk,com.motorola.motocit
/system_ext/priv-app/EmergencyInfoGms/EmergencyInfoGms.apk,com.android.emergency
/data/app/~~0CL2Ba5PB41qxbppehv12Q,
/product/overlay/NetworkStackMcc460Overlay.apk,com.motorola.android.networkstack.overlay.mcc460
/system/app/MotoSignatureApp/MotoSignatureApp.apk,com.motorola.motosignature.app
/system_ext/app/SlpcSystem/SlpcSystem.apk,com.motorola.slpc_sys
/system_ext/priv-app/SystemUI/SystemUI.apk,com.android.systemui
/product/overlay/MotoSystemUIOverlayATT/MotoSystemUIOverlayATT.apk,com.motorola.android.systemui.overlay.att
/system/app/BookmarkProvider/BookmarkProvider.apk,com.android.bookmarkprovider
/data/app/~~X69eZaPQ90zRpVtRa13yBw,
/system_ext/priv-app/ModemStatsService/ModemStatsService.apk,com.motorola.bach.modemstats
/data/app/~~x6hDgfpSmQW_OPuCG57y-A,
/data/app/~~r3u06jxpR0vauXuMRxaXxA,
/product/overlay/MotoSetupWizardExtOverlayTracfone.apk,com.motorola.setup.overlay.tracfone
/product/priv-app/HotwordEnrollmentOKGoogleHEXAGON_WIDEBAND/HotwordEnrollmentOKGoogleHEXAGON_WIDEBAND.apk,com.android.hotwordenrollment.okgoogle
/vendor/overlay/framework-res__auto_generated_rro_vendor.apk,android.auto_generated_rro_vendor__
/system_ext/priv-app/RevokerServices/RevokerServices.apk,com.motorola.revoker.services
/apex/com.android.permission/priv-app/GooglePermissionController@360743220/GooglePermissionController.apk,com.google.android.permissioncontroller
/product/priv-app/AmazonAppManager/AmazonAppManager.apk,com.amazon.appmanager
/product/overlay/MotoSetupWizardExtOverlayTmo.apk,com.motorola.setup.overlay.tmo
/product/priv-app/BRApps2/BRApps2.apk,com.motorola.brapps
/system/priv-app/TagGoogle/TagGoogle.apk,com.google.android.tag
/product/priv-app/AttPhoneExt/AttPhoneExt.apk,com.motorola.att.phone.extensions
/product/priv-app/Dialer/Dialer.apk,com.android.dialer
/data/app/~~M2sWCTA4ZgQcurToeiji9w,
/product/priv-app/MotCamera4/MotCamera4.apk,com.motorola.camera3
/data/app/~~Er-BDchTvO10fTTl6bPMKg,
/system/priv-app/BuiltInPrintService/BuiltInPrintService.apk,com.android.bips
/vendor/overlay/SystemUI__auto_generated_rro_vendor.apk,com.android.systemui.auto_generated_rro_vendor__
/product/overlay/GmsConfigOverlayComms.apk,com.google.android.overlay.gmsconfig.comms
/system/priv-app/SoundPicker/SoundPicker.apk,com.android.soundpicker
/product/priv-app/BuaCloudContactAdapter/BuaCloudContactAdapter.apk,com.motorola.android.buacloudcontactadapter
/product/priv-app/MotoAppUIRefresh/MotoAppUIRefresh.apk,com.motorola.moto
/data/app/~~oIAWm43YOaG5m4_L2ufjRw,
/vendor/app/IWlanService/IWlanService.apk,vendor.qti.iwlan
/system/app/MotoSignature2App/MotoSignature2App.apk,com.motorola.motosignature2.app
/product/overlay/MotoFrameworkResOverlayMidRam.apk,com.motorola.android.overlay.midram
/apex/com.android.mediaprovider/priv-app/MediaProviderGoogle@360738280/MediaProviderGoogle.apk,com.google.android.providers.media.module
/product/app/facebook-appmanager/facebook-appmanager.apk,com.facebook.appmanager
/product/overlay/FrameworkResOverlayFogo.apk,com.motorola.android.overlay.fogo
/product/overlay/MotoSetupWizardExtOverlayVZW.apk,com.motorola.setup.overlay.vzw
/data/app/~~ViHQ9zNXGwDaW7GhfzUhMQ,
/data/app/~~yV2s9XX5BmrUtU-0sojMwA,
/data/app/~~gZtix2ftqdWxCBMo1aHoXw,
/product/overlay/MotoSystemUIOverlayVZW/MotoSystemUIOverlayVZW.apk,com.motorola.android.systemui.overlay.vzw
/product/priv-app/VzwSecurityPrivacy/VzwSecurityPrivacy.apk,com.securityandprivacy.android.verizon.vms
